species,taxid,organism_name,nirK_present,pcuac_present,class,nirK_rep_accession,pcuac_rep_accession,species_resolved
polaribacter huanghezhanensis,1354726,Polaribacter huanghezhanensis,1,0,nirK_only,WP_436410111.1,NA,1
janthinobacterium leeuwenhoeki,3424196,Janthinobacterium leeuwenhoeki,1,0,nirK_only,WP_436479523.1,NA,1
janthinobacterium violaceum,3424197,Janthinobacterium violaceum,1,0,nirK_only,WP_436479877.1,NA,1
janthinobacterium amylolyticum,3424188,Janthinobacterium amylolyticum,1,0,nirK_only,WP_436485630.1,NA,1
janthinobacterium goodfellowi,3424190,Janthinobacterium goodfellowi,1,0,nirK_only,WP_436501372.1,NA,1
janthinobacterium salmonicoloratum,3424198,Janthinobacterium salmonicoloratum,1,0,nirK_only,WP_436503993.1,NA,1
janthinobacterium kochi,3424191,Janthinobacterium kochi,1,0,nirK_only,WP_436508776.1,NA,1
janthinobacterium lyxosi,3424189,Janthinobacterium lyxosi,1,0,nirK_only,WP_436520999.1,NA,1
janthinobacterium glycogeni,3424192,Janthinobacterium glycogeni,1,0,nirK_only,WP_436541224.1,NA,1
janthinobacterium woesei,1259331,Janthinobacterium woesei,1,0,nirK_only,WP_436566425.1,NA,1
janthinobacterium darwini,1259324,Janthinobacterium darwini,1,0,nirK_only,WP_436573979.1,NA,1
janthinobacterium breve,1259338,Janthinobacterium breve,1,1,both,WP_436574955.1,WP_436577023.1,1
paramicrobacterium salitolerans,3445355,Paramicrobacterium salitolerans,1,0,nirK_only,WP_437584043.1,NA,1
flavobacterium maritimum,3149042,Flavobacterium maritimum,1,0,nirK_only,WP_438861681.1,NA,1
flavobacterium tagetis,2801336,Flavobacterium tagetis,1,0,nirK_only,WP_439649350.1,NA,1
flavobacterium taihuense,2857508,Flavobacterium taihuense,1,0,nirK_only,WP_439649425.1,NA,1
unclassified ralstonia,1566294;209769;54061;209769;3423950;3453878,Ralstonia sp.;unclassified Ralstonia;Ralstonia sp. NFACC01,1,1,both,WP_440077430.1,WP_175537170.1,1
ornithinimicrobium panacihumi,2008449,Ornithinimicrobium panacihumi,1,0,nirK_only,WP_441190881.1,NA,1
unclassified brachybacterium,1891286;2623841;3457664;3457670;1891286;2623841;3457664;3457670;3457672;3457685;3457711;2623841;3457685;3457711;2623841;3457699;3457736,unclassified Brachybacterium;Brachybacterium sp. AOP3-A1-3;Brachybacterium sp. 107,1,1,both,WP_441444761.1,WP_444577132.1,1
unclassified cupriavidus,2640874;3232677;3232685;3232792;3233075,unclassified Cupriavidus;Cupriavidus sp. 01L310;Cupriavidus sp. 01L412;Cupriavidus sp. 05L42;Cupriavidus sp. YAF13,1,0,nirK_only,WP_441639964.1,NA,1
unclassified nitrospina,2024844;2638683;3456075;2024844;2638683;3456076,Nitrospina sp.;unclassified Nitrospina;Nitrospina sp. 32_T5,1,0,nirK_only,WP_442425986.1,NA,1
